"ARZone","Site","Year","Studytype","StudyCode","Sno","FarmerID","Vilage","Sub.village","Maize.variety","Treat","Fertilizer.type","MaizeYld","MzYld_RatioMax","MzYld_Ratio5.","PlantDEnsity","ISFM_Comps","ISFM_comment","Fertilizer","ImprVar","Intercrop","SWC","Man_Appl","FreqMan","DistHome","LandscapePosition","M_Gender","Lat","Long","GrossMargins","Grain.N...","Grain.P...","DataOwner","ISFM_i"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT007","Kitete                                     ","Yangeyange                        ","TANH600","FP","Control",1.12,0.0988526037069726,0.16374269005848,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT008","Kitete                                     ","Yangeyange                        ","K6Q","FP","Control",1.124,0.0992056487202118,0.164327485380117,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT009","Kitete                                     ","Yangeyange                        ","NATA104","FP","Control",1.1,0.0970873786407767,0.160818713450292,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT010","Kitete                                     ","Yangeyange                        ","TANH600","FP","Control",1.1048,0.0975110326566637,0.161520467836257,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT011","Kitete                                     ","Yangeyange                        ","STUKA","FP","Control",1.16,0.102383053839365,0.169590643274854,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT012","Kitete                                     ","Yangeyange                        ","STUKA","FP","Control",2.25,0.198587819947043,0.328947368421053,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT013","Kitete                                     ","Yangeyange                        ","STAHA","FP","Control",2.213,0.195322153574581,0.323538011695906,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT013","Kitete                                     ","Yangeyange                        ","TANH600","FP","Control",4.4521,0.392947925860547,0.650891812865497,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT014","Kitete                                     ","Yangeyange                        ","STUKA","FP","Control",2.28979591836735,0.20210025757876,0.334765485141425,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT015","Kitete                                     ","Yangeyange                        ","TANH600","FP","Control",2.216,0.19558693733451,0.323976608187135,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT016","Kitete                                     ","Kibaoni                           ","TANH600","FP","Control",0.5625,0.0496469549867608,0.0822368421052632,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT016","Kitete                                     ","Kibaoni                           ","STUKA","FP","Control",0.57995,0.0511871138570168,0.0847880116959064,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT017","Kitete                                     ","Yangeyange                        ","STAHA","FP","Control",0.198,0.0174757281553398,0.0289473684210526,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT017","Kitete                                     ","Madukani                          ","STUKA","FP","Control",2.2187,0.195825242718447,0.32437134502924,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT018","Kitete                                     ","Yangeyange                        ","STUKA","FP","Control",1.115,0.0984112974404237,0.163011695906433,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT020","Kitete                                     ","Yangeyange                        ","NATA104","FP","Control",4.52244897959184,0.399157014968388,0.661176751402315,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
